YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,PATH_CATEGORY_NAME,POPULATION,STUDENT_COUNT,STUDENTS_PER_100K_INHABITANTS
2023,Île-de-France,40-44 ans,M,Data,12450849,35,0.28
2025,Provence-Alpes-Côte d'Azur,30-34 ans,M,Data,5241587,14,0.27
2024,Normandie,35-39 ans,F,Data,3341312,3,0.09
2022,Hauts-de-France,40-44 ans,M,Data,5973933,7,0.12
2023,Île-de-France,25-29 ans,M,Data,12450849,60,0.48
2023,Île-de-France,25-29 ans,F,Data,12450849,25,0.20
2023,Île-de-France,30-34 ans,NON_RENSEIGNE,Data,12450849,46,0.37
2024,Auvergne-Rhône-Alpes,35-39 ans,M,Data,8260096,7,0.08
2022,Île-de-France,40-44 ans,F,Data,12450849,34,0.27
2023,Nouvelle-Aquitaine,25-29 ans,M,Data,6191209,10,0.16
2022,Île-de-France,45-49 ans,NON_RENSEIGNE,Data,12450849,23,0.18
2024,Île-de-France,35-39 ans,NON_RENSEIGNE,Data,12450849,11,0.09
2022,Provence-Alpes-Côte d'Azur,25-29 ans,NON_RENSEIGNE,Data,5241587,8,0.15
2023,Île-de-France,45-49 ans,NON_RENSEIGNE,Data,12450849,17,0.14
2025,Provence-Alpes-Côte d'Azur,25-29 ans,M,Data,5241587,10,0.19
2022,Normandie,25-29 ans,NON_RENSEIGNE,Data,3341312,4,0.12
2024,Centre-Val de Loire,25-29 ans,M,Data,2581479,5,0.19
2024,Bretagne,30-34 ans,F,Data,3475895,3,0.09
2022,Centre-Val de Loire,30-34 ans,M,Data,2581479,3,0.12
2022,Île-de-France,50-54 ans,M,Data,12450849,21,0.17
2023,Hauts-de-France,55-59 ans,M,Data,5973933,1,0.02
2023,Île-de-France,60 ans ou plus,NON_RENSEIGNE,Data,12450849,5,0.04
2022,Bretagne,30-34 ans,NON_RENSEIGNE,Data,3475895,5,0.14
2024,Pays de la Loire,25-29 ans,M,Data,3936719,4,0.10
2024,Nouvelle-Aquitaine,45-49 ans,M,Data,6191209,2,0.03
2022,Auvergne-Rhône-Alpes,25-29 ans,M,Data,8260096,8,0.10
2022,Grand Est,35-39 ans,M,Data,5544051,10,0.18
2025,Provence-Alpes-Côte d'Azur,35-39 ans,M,Data,5241587,11,0.21
2022,Île-de-France,25-29 ans,NON_RENSEIGNE,Data,12450849,62,0.50
2025,Île-de-France,35-39 ans,NON_RENSEIGNE,Data,12450849,8,0.06
2022,Île-de-France,60 ans ou plus,M,Data,12450849,10,0.08
2022,Hauts-de-France,35-39 ans,NON_RENSEIGNE,Data,5973933,5,0.08
2022,Auvergne-Rhône-Alpes,60 ans ou plus,NON_RENSEIGNE,Data,8260096,1,0.01
2025,Bretagne,30-34 ans,F,Data,3475895,4,0.12
2024,Île-de-France,30-34 ans,NON_RENSEIGNE,Data,12450849,10,0.08
2024,Grand Est,45-49 ans,NON_RENSEIGNE,Data,5544051,3,0.05
2024,Occitanie,25-29 ans,NON_RENSEIGNE,Data,6201587,3,0.05
2023,Occitanie,30-34 ans,F,Data,6201587,4,0.06
2024,Pays de la Loire,30-34 ans,F,Data,3936719,4,0.10
2024,Provence-Alpes-Côte d'Azur,35-39 ans,M,Data,5241587,9,0.17
2022,Occitanie,25-29 ans,M,Data,6201587,10,0.16
2025,Provence-Alpes-Côte d'Azur,40-44 ans,F,Data,5241587,5,0.10
2025,Île-de-France,55-59 ans,M,Data,12450849,5,0.04
2023,Provence-Alpes-Côte d'Azur,45-49 ans,M,Data,5241587,2,0.04
2023,Grand Est,35-39 ans,NON_RENSEIGNE,Data,5544051,2,0.04
2025,Nouvelle-Aquitaine,40-44 ans,F,Data,6191209,4,0.06
2023,Normandie,35-39 ans,NON_RENSEIGNE,Data,3341312,4,0.12
2023,Provence-Alpes-Côte d'Azur,60 ans ou plus,M,Data,5241587,1,0.02
2022,Pays de la Loire,40-44 ans,F,Data,3936719,3,0.08
2025,Occitanie,30-34 ans,M,Data,6201587,7,0.11
